168.95,358.8
168.95,364.4
168.95,370
168.95,375.6
168.95,381.2
168.95,386.8
168.95,392.4
174.9,246.8
174.9,252.4
174.9,258
174.9,263.6
174.9,319.6
174.9,325.2
174.9,330.8
174.9,336.4
174.9,342
174.9,347.6
174.9,353.2
174.9,358.8
174.9,364.4
174.9,370
174.9,375.6
174.9,381.2
174.9,386.8
174.9,392.4
180.85,235.6
180.85,241.2
180.85,246.8
180.85,252.4
180.85,258
180.85,263.6
180.85,269.2
180.85,274.8
180.85,280.4
180.85,286
180.85,291.6
180.85,297.2
180.85,302.8
180.85,308.4
180.85,314
180.85,319.6
180.85,325.2
180.85,330.8
180.85,336.4
180.85,342
180.85,347.6
180.85,353.2
180.85,358.8
180.85,364.4
180.85,370
180.85,375.6
180.85,381.2
180.85,386.8
180.85,392.4
186.8,230
186.8,235.6
186.8,241.2
186.8,246.8
186.8,252.4
186.8,258
186.8,263.6
186.8,269.2
186.8,274.8
186.8,280.4
186.8,286
186.8,291.6
186.8,297.2
186.8,302.8
186.8,308.4
186.8,314
186.8,319.6
186.8,325.2
186.8,330.8
186.8,336.4
186.8,342
186.8,347.6
186.8,353.2
186.8,358.8
186.8,364.4
186.8,370
186.8,375.6
186.8,381.2
186.8,386.8
186.8,392.4
192.75,213.2
192.75,218.8
192.75,224.4
192.75,230
192.75,235.6
192.75,241.2
192.75,246.8
192.75,252.4
192.75,258
192.75,263.6
192.75,269.2
192.75,274.8
192.75,280.4
192.75,286
192.75,291.6
192.75,297.2
192.75,302.8
192.75,308.4
192.75,314
192.75,319.6
192.75,325.2
192.75,330.8
192.75,336.4
192.75,342
192.75,347.6
192.75,353.2
192.75,358.8
192.75,364.4
192.75,370
192.75,375.6
192.75,381.2
192.75,386.8
192.75,392.4
198.7,196.4
198.7,202
198.7,207.6
198.7,213.2
198.7,218.8
198.7,224.4
198.7,230
198.7,235.6
198.7,241.2
198.7,246.8
198.7,252.4
198.7,258
198.7,263.6
198.7,269.2
198.7,274.8
198.7,280.4
198.7,286
198.7,291.6
198.7,297.2
198.7,302.8
198.7,308.4
198.7,314
198.7,319.6
198.7,325.2
198.7,330.8
198.7,336.4
198.7,342
198.7,347.6
198.7,353.2
198.7,358.8
198.7,364.4
198.7,370
198.7,375.6
198.7,381.2
198.7,386.8
198.7,392.4
204.65,196.4
204.65,202
204.65,207.6
204.65,213.2
204.65,218.8
204.65,224.4
204.65,230
204.65,235.6
204.65,241.2
204.65,246.8
204.65,252.4
204.65,258
204.65,263.6
204.65,269.2
204.65,274.8
204.65,280.4
204.65,286
204.65,291.6
204.65,297.2
204.65,302.8
204.65,308.4
204.65,314
204.65,319.6
204.65,325.2
204.65,330.8
204.65,336.4
204.65,342
204.65,347.6
204.65,353.2
204.65,358.8
204.65,364.4
204.65,370
204.65,375.6
204.65,381.2
204.65,386.8
204.65,392.4
210.6,196.4
210.6,202
210.6,207.6
210.6,213.2
210.6,218.8
210.6,224.4
210.6,230
210.6,235.6
210.6,241.2
210.6,246.8
210.6,252.4
210.6,258
210.6,263.6
210.6,269.2
210.6,274.8
210.6,280.4
210.6,286
210.6,291.6
210.6,297.2
210.6,302.8
210.6,308.4
210.6,314
210.6,319.6
210.6,325.2
210.6,330.8
210.6,336.4
210.6,342
210.6,347.6
210.6,353.2
210.6,358.8
210.6,364.4
210.6,370
210.6,375.6
210.6,381.2
210.6,386.8
210.6,392.4
216.55,196.4
216.55,202
216.55,207.6
216.55,213.2
216.55,218.8
216.55,224.4
216.55,230
216.55,235.6
216.55,241.2
216.55,246.8
216.55,252.4
216.55,258
216.55,263.6
216.55,269.2
216.55,274.8
216.55,280.4
216.55,286
216.55,291.6
216.55,297.2
216.55,302.8
216.55,308.4
216.55,314
